iter	Passed	Remaining
0	147	147479
1	233	116685
2	315	104881
3	395	98458
4	494	98459
5	596	98746
6	676	96019
7	767	95194
8	861	94897
9	975	96615
10	1064	95674
11	1126	92721
12	1216	92375
13	1322	93151
14	1417	93085
15	1509	92811
16	1603	92729
17	1694	92467
18	1781	92001
19	1872	91769
20	1969	91818
21	2049	91121
22	2118	89980
23	2169	88244
24	2220	86608
25	2254	84465
26	2311	83293
27	2398	83249
28	2444	81839
29	2501	80891
30	2597	81193
31	2685	81243
32	2778	81408
33	2876	81727
34	2971	81942
35	3059	81926
36	3150	81985
37	3244	82133
38	3339	82277
39	3432	82370
40	3527	82515
41	3622	82637
42	3714	82670
43	3808	82755
44	3906	82908
45	4002	83002
46	4097	83092
47	4191	83121
48	4287	83207
49	4375	83125
50	4474	83256
51	4565	83230
52	4660	83274
53	4755	83316
54	4855	83429
55	4948	83411
56	5042	83415
57	5133	83376
58	5221	83283
59	5315	83279
60	5413	83335
61	5514	83424
62	5603	83345
63	5681	83093
64	5789	83273
65	5884	83280
66	5971	83148
67	6056	83012
68	6157	83085
69	6248	83011
70	6339	82945
71	6434	82928
72	6524	82847
73	6621	82857
74	6717	82853
75	6808	82776
76	6903	82758
77	6994	82678
78	7018	81824
79	7108	81745
80	7202	81718
81	7288	81598
82	7382	81566
83	7482	81598
84	7564	81426
85	7656	81377
86	7744	81275
87	7808	80922
88	7896	80829
89	7996	80852
90	8086	80772
91	8182	80753
92	8264	80602
93	8367	80652
94	8462	80616
95	8562	80632
96	8655	80572
97	8750	80544
98	8846	80512
99	8940	80467
100	9036	80438
101	9127	80359
102	9225	80341
103	9326	80355
104	9366	79840
105	9459	79783
106	9555	79748
107	9647	79683
108	9746	79669
109	9844	79652
110	9937	79588
111	10035	79563
112	10130	79518
113	10231	79520
114	10327	79476
115	10428	79474
116	10524	79425
117	10614	79341
118	10692	79159
119	10784	79086
120	10878	79024
121	10978	79011
122	11072	78947
123	11166	78885
124	11259	78814
125	11351	78739
126	11453	78731
127	11549	78682
128	11646	78634
129	11735	78536
130	11829	78473
131	11920	78387
132	12011	78298
133	12086	78108
134	12155	77882
135	12173	77340
136	12221	76987
137	12272	76658
138	12322	76326
139	12368	75980
140	12416	75642
141	12468	75336
142	12521	75041
143	12572	74735
144	12622	74430
145	12707	74333
146	12794	74242
147	12851	73981
148	12900	73681
149	12946	73366
150	12965	72896
151	13011	72590
152	13027	72117
153	13081	71861
154	13146	71667
155	13197	71403
156	13288	71352
157	13381	71309
158	13475	71274
159	13569	71238
160	13654	71157
161	13747	71113
162	13838	71059
163	13936	71042
164	14032	71012
165	14125	70967
166	14213	70894
167	14309	70867
168	14404	70829
169	14497	70780
170	14518	70387
171	14605	70310
172	14701	70280
173	14793	70225
174	14882	70160
175	14969	70083
176	15057	70013
177	15148	69956
178	15246	69929
179	15334	69855
180	15431	69825
181	15520	69755
182	15611	69697
183	15702	69638
184	15801	69611
185	15895	69565
186	15983	69490
187	16073	69422
188	16168	69377
189	16263	69335
190	16351	69258
191	16444	69205
192	16533	69133
193	16624	69070
194	16715	69006
195	16810	68956
196	16906	68913
197	16997	68849
198	17090	68792
199	17182	68728
200	17273	68663
201	17368	68613
202	17466	68574
203	17555	68500
204	17642	68417
205	17731	68345
206	17823	68279
207	17924	68252
208	18017	68188
209	18114	68143
210	18209	68090
211	18302	68028
212	18395	67967
213	18486	67897
214	18576	67825
215	18667	67755
216	18761	67698
217	18854	67635
218	18948	67572
219	19042	67515
220	19137	67457
221	19224	67371
222	19314	67298
223	19403	67220
224	19506	67188
225	19596	67114
226	19693	67062
227	19782	66983
228	19874	66912
229	19964	66837
230	20056	66768
231	20144	66685
232	20235	66612
233	20323	66530
234	20415	66460
235	20509	66394
236	20606	66340
237	20692	66252
238	20783	66177
239	20876	66107
240	20970	66042
241	21075	66012
242	21172	65958
243	21267	65895
244	21358	65818
245	21452	65753
246	21541	65669
247	21633	65598
248	21727	65531
249	21818	65456
250	21916	65401
251	22013	65342
252	22104	65265
253	22196	65190
254	22285	65108
255	22372	65021
256	22462	64941
257	22520	64768
258	22612	64695
259	22705	64622
260	22800	64558
261	22894	64488
262	22990	64424
263	23082	64351
264	23179	64290
265	23275	64227
266	23372	64164
267	23466	64096
268	23558	64020
269	23652	63950
270	23747	63880
271	23838	63802
272	23924	63712
273	24018	63639
274	24109	63561
275	24198	63476
276	24288	63396
277	24382	63323
278	24481	63266
279	24583	63213
280	24679	63148
281	24782	63098
282	24886	63050
283	24980	62977
284	25076	62909
285	25166	62828
286	25261	62758
287	25349	62669
288	25448	62608
289	25549	62552
290	25652	62500
291	25741	62415
292	25834	62337
293	25925	62255
294	26025	62196
295	26122	62128
296	26216	62054
297	26304	61966
298	26391	61875
299	26485	61800
300	26578	61721
301	26668	61637
302	26747	61527
303	26838	61446
304	26932	61370
305	27021	61283
306	27109	61195
307	27197	61106
308	27291	61029
309	27380	60943
310	27470	60859
311	27568	60792
312	27661	60714
313	27748	60623
314	27837	60535
315	27924	60444
316	27997	60322
317	28065	60191
318	28115	60020
319	28166	59854
320	28217	59687
321	28269	59524
322	28323	59365
323	28370	59193
324	28425	59036
325	28529	58984
326	28602	58867
327	28654	58706
328	28701	58536
329	28748	58368
330	28796	58201
331	28852	58053
332	28913	57914
333	28959	57746
334	29040	57648
335	29133	57573
336	29215	57477
337	29309	57405
338	29399	57325
339	29505	57275
340	29608	57219
341	29714	57169
342	29808	57097
343	29900	57019
344	29994	56946
345	30091	56877
346	30186	56806
347	30275	56723
348	30381	56671
349	30475	56597
350	30568	56521
351	30663	56448
352	30771	56399
353	30865	56325
354	30961	56253
355	31050	56170
356	31138	56084
357	31231	56006
358	31324	55931
359	31415	55850
360	31505	55767
361	31599	55691
362	31693	55616
363	31789	55544
364	31880	55463
365	31973	55386
366	32062	55301
367	32156	55225
368	32244	55138
369	32337	55061
370	32429	54980
371	32517	54895
372	32609	54815
373	32704	54740
374	32795	54658
375	32888	54580
376	32977	54496
377	33066	54411
378	33157	54329
379	33251	54252
380	33346	54177
381	33439	54099
382	33531	54017
383	33628	53946
384	33720	53865
385	33816	53790
386	33905	53705
387	34002	53633
388	34088	53542
389	34178	53458
390	34279	53391
391	34370	53309
392	34458	53222
393	34550	53140
394	34641	53058
395	34733	52976
396	34823	52892
397	34918	52816
398	35009	52734
399	35098	52648
400	35194	52572
401	35289	52494
402	35378	52409
403	35473	52331
404	35569	52256
405	35663	52177
406	35751	52089
407	35842	52007
408	35972	51980
409	36066	51901
410	36160	51821
411	36244	51728
412	36335	51643
413	36427	51562
414	36519	51479
415	36615	51401
416	36704	51315
417	36790	51224
418	36877	51136
419	36973	51059
420	37064	50974
421	37153	50887
422	37244	50804
423	37337	50721
424	37429	50639
425	37525	50562
426	37615	50476
427	37707	50393
428	37803	50316
429	37899	50238
430	37988	50152
431	38078	50066
432	38174	49988
433	38265	49903
434	38353	49815
435	38445	49732
436	38538	49650
437	38638	49577
438	38712	49470
439	38790	49369
440	38860	49258
441	38945	49166
442	39034	49079
443	39126	48996
444	39215	48909
445	39311	48830
446	39410	48755
447	39499	48669
448	39591	48585
449	39683	48501
450	39782	48426
451	39876	48346
452	39970	48264
453	40073	48194
454	40169	48115
455	40261	48030
456	40362	47957
457	40458	47878
458	40553	47798
459	40655	47725
460	40745	47639
461	40844	47563
462	40936	47479
463	41023	47389
464	41111	47300
465	41197	47208
466	41292	47127
467	41386	47045
468	41481	46965
469	41581	46889
470	41667	46798
471	41764	46719
472	41855	46634
473	41949	46551
474	42041	46467
475	42138	46387
476	42230	46303
477	42326	46222
478	42408	46126
479	42503	46045
480	42598	45963
481	42700	45889
482	42796	45809
483	42892	45728
484	42988	45647
485	43073	45554
